sentiment,message,tweetid,text
1,"RT @JustinTrudeau: Welcome to Ottawa, @Premier_Silver – looking forward to working together to fight climate change &amp; protect our envi… ",806968917000339456,"JustinTrudeau: Welcome to Ottawa, Premier_Silver – looking forward to working together to fight climate change &amp; protect our envi… "
1,RT @ClimateCentral: 'Trump is wrong — the people of Pittsburgh care about climate change' https://t.co/RtNZBMfb03 via @voxdotcom,871668952472182784,ClimateCentral: 'Trump is wrong — the people of Pittsburgh care about climate change'  via voxdotcom
1,"RT @GlenSteen: Kids in public system know about AGW! 
EPA phones ring off the hook after Pruitt's remarks on climate change: report https:/…",840905840718569473,"GlenSteen: Kids in public system know about AGW! 
EPA phones ring off the hook after Pruitt's remarks on climate change: report https:/…"
1,"RT @AstroKatie: In case you were wondering: no, 4 years of US-led inaction on climate change will not go well for the planet. Now is when iÃ¢â‚¬Â¦",796725541189599233,"AstroKatie: In case you were wondering: no, 4 years of US-led inaction on climate change will not go well for the planet. Now is when iÃ¢â‚¬Â¦"
1,RT @freedomrideblog: I understand why iceberg is a new tourist site in Newfoundland. But isn't this proof of global warming? Tourist des…,856318440872841216,freedomrideblog: I understand why iceberg is a new tourist site in Newfoundland. But isn't this proof of global warming? Tourist des…
1,Department of the Interior scrubs 'climate change' page ― #Environment #ImpeachTrump https://t.co/o3bQHFhy5D https://t.co/V5rMhMLQoe,858201936818057217,Department of the Interior scrubs 'climate change' page ― Environment ImpeachTrump  
1,RT @BernieSanders: 'The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiÃ¢â‚¬Â¦,795792636091232256,BernieSanders: 'The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiÃ¢â‚¬Â¦
1,"RT @AngelXMen_2017: World leaders should ignore #DontheCon on climate change, says Michael Bloomberg #False45 #ClimateChangeDenier 
https:/…",856426245273382912,"AngelXMen_2017: World leaders should ignore DontheCon on climate change, says Michael Bloomberg False45 ClimateChangeDenier 
https:/…"
1,RT @PopSci: Four things you can do to stop Donald Trump from making climate change worse https://t.co/V6o9QJSdVl https://t.co/L34Nm7m1vV,797403686649610240,PopSci: Four things you can do to stop Donald Trump from making climate change worse  
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",793516801456037888,"NatGeoChannel: Watch BeforeTheFlood right here, as LeoDiCaprio travels the world to tackle climate change  httÃ¢â‚¬Â¦"
1,RT @HuffPostGreen: Polar bears doomed unless we humans curb climate change https://t.co/uknz9ddeel,818621512630620161,HuffPostGreen: Polar bears doomed unless we humans curb climate change 
1,"RT @annemariayritys: 'Amnesty&amp;Greenpeace: Between 2030 &amp; 2050, climate change is expected to cause approx. 250K deaths per year.'…",927012078807801857,"annemariayritys: 'Amnesty&amp;Greenpeace: Between 2030 &amp; 2050, climate change is expected to cause approx. 250K deaths per year.'…"
1,RT @hhill3060: I can't believe I'll be living in a country where our president and vp don't believe in climate change but do believe in conÃ¢â‚¬Â¦,796584695895040000,hhill3060: I can't believe I'll be living in a country where our president and vp don't believe in climate change but do believe in conÃ¢â‚¬Â¦
1,i'm watching bill nye's new show and i'm not even 10 minutes in and he's already talking climate change i LOVE HIM,857082487541043201,i'm watching bill nye's new show and i'm not even 10 minutes in and he's already talking climate change i LOVE HIM
1,How the coffee industry is about to get roasted by climate change https://t.co/NfcMWpnEFk https://t.co/4SJ3tYP5uD,918155533546336257,How the coffee industry is about to get roasted by climate change  
1,Caring for nature doesn’t always mean leaving it alone. Can we engineer climate change away? Should we? https://t.co/gXkVWow4Av,865915012992389120,Caring for nature doesn’t always mean leaving it alone. Can we engineer climate change away? Should we? 
1,RT @Independent: Artists visualised what climate change could do to New York and it's breathtaking https://t.co/FfY7aPiDRd,874511845129891840,Independent: Artists visualised what climate change could do to New York and it's breathtaking 
1,"RT @350: In the US? Write a letter to the editor, urge media to connect the dots between climate change &amp; Hurricane Harvey:…",905211366394535936,"350: In the US? Write a letter to the editor, urge media to connect the dots between climate change &amp; Hurricane Harvey:…"
1,"♥The Taiwan government should apologize to the whole world, making air pollution caused the global warming.

https://t.co/MPX4PhRDVP",841587667716329472,"♥The Taiwan government should apologize to the whole world, making air pollution caused the global warming.

"
1,"RT @1followernodad: parent: I'd do anything for my children!

Scientist: here's how to stave off climate change so your children can stay oÃ¢â‚¬Â¦",799270128630300672,"1followernodad: parent: I'd do anything for my children!

Scientist: here's how to stave off climate change so your children can stay oÃ¢â‚¬Â¦"
1,RT @taylorandbrown: i think the number one thing that bothers me about trump being president is that he's going to defund climate change reÃ¢â‚¬Â¦,796715156638208000,taylorandbrown: i think the number one thing that bothers me about trump being president is that he's going to defund climate change reÃ¢â‚¬Â¦
1,RT @IFAWUK: Tiny endangered African penguins need our help to survive in the face of climate change https://t.co/vEdG8YZyL3…,841292750851067904,IFAWUK: Tiny endangered African penguins need our help to survive in the face of climate change 
1,RT @katiegibbs: Yes! This @globeandmail editorial is bang-on. The @JustinTrudeau government is keen to fight climate change and they vowedâ€¦,954335054691528705,katiegibbs: Yes! This globeandmail editorial is bang-on. The JustinTrudeau government is keen to fight climate change and they vowedâ€¦
1,"RT @1StarFleetCadet: 45’s budget our scientists have been fearing $7 billion Cuts climate change, diseases, and energy
 https://t.co/0mcwWB…",843529255937961984,"1StarFleetCadet: 45’s budget our scientists have been fearing $7 billion Cuts climate change, diseases, and energy
 "
1,"#OnAir : The Horizon

We should practice afforestation more to check the problem of climate change - Jemimah Amoah,â€¦ https://t.co/KPodnGbdua",957547379452010496,"OnAir : The Horizon

We should practice afforestation more to check the problem of climate change - Jemimah Amoah,â€¦ "
1,How 2 degrees of global warming will be way worse than 1.5 @CarbonBrief https://t.co/GVYEZKdoma,953633985770459137,How 2 degrees of global warming will be way worse than 1.5 CarbonBrief 
1,"RT @katesictibet: #Tibet is driver +amplifier of global warming, effect more pronounced than at S and N Poles @chellaney @DhardonSharling",815265114895118339,"katesictibet: Tibet is driver +amplifier of global warming, effect more pronounced than at S and N Poles chellaney DhardonSharling"
1,"RT @ChrisJZullo: #NotReallyAPartyUntil you realize we elected Vice President who believes global warming, evolution, and gravity doesn't exÃ¢â‚¬Â¦",798858461505126400,"ChrisJZullo: NotReallyAPartyUntil you realize we elected Vice President who believes global warming, evolution, and gravity doesn't exÃ¢â‚¬Â¦"
1,"@MotoKenzo must be right about climate change,the rest of the world must be wrong!now his response with a link to a internet climate denier",873570956584693761,"MotoKenzo must be right about climate change,the rest of the world must be wrong!now his response with a link to a internet climate denier"
1,"RT @DanielMaithyaKE: Integrate climate change measures into national policies, strategies and planning #KenyaChat",905407155351760896,"DanielMaithyaKE: Integrate climate change measures into national policies, strategies and planning KenyaChat"
1,7 foods that could go extinct thanks to climate change https://t.co/TXjG0HwZWD via @SFGate,795534581545848832,7 foods that could go extinct thanks to climate change  via SFGate
1,RT @Greenpeace: Why are those who do the least to cause climate change suffering the worst effects? https://t.co/IzXTeRyvCX https://t.co/SZ…,750976311422619648,Greenpeace: Why are those who do the least to cause climate change suffering the worst effects?  
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,798497147503210496,StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change 
